variant, size, throughput, missrate, requests, time
default, 125000, 7558.641962, 0.547504, 4996140, 660.983814955
hyper, 125000, 7813.237693, 0.486599, 4996432, 639.482913017
default, 70000, 6891.989003, 0.635686, 4995398, 724.812241793
hyper, 70000, 7278.415074, 0.562480, 4995934, 686.404107094
default, 125000, 7772.494499, 0.547394, 4996060, 642.787203074
hyper, 125000, 8136.006061, 0.486678, 4996269, 614.09356904
default, 70000, 7078.916865, 0.635953, 4995535, 705.691999912
hyper, 70000, 7656.769721, 0.561843, 4995866, 652.476982117
default, 125000, 7731.417009, 0.547323, 4995976, 646.191505909
hyper, 125000, 8099.861713, 0.486033, 4996388, 616.848555803
default, 70000, 6842.772535, 0.635845, 4995230, 730.000884056
hyper, 70000, 7200.767964, 0.562138, 4995789, 693.785583019
default, 125000, 7504.549320, 0.546941, 4995759, 665.697403908
hyper, 125000, 8328.853089, 0.486388, 4996391, 599.889438152
default, 70000, 6819.250517, 0.635751, 4994900, 732.470524073
hyper, 70000, 7374.856416, 0.562613, 4995745, 677.402340889
default, 125000, 7422.238438, 0.547031, 4995929, 673.102735996
hyper, 125000, 8257.692784, 0.486407, 4996149, 605.029653072
default, 70000, 6959.223197, 0.636042, 4995405, 717.81071806
hyper, 70000, 7666.263279, 0.562207, 4996125, 651.702768087
default, 125000, 7434.505510, 0.547643, 4995937, 671.993180037
hyper, 125000, 7385.163819, 0.486131, 4996333, 676.536515951
default, 70000, 6663.961734, 0.635468, 4994934, 749.544219971
hyper, 70000, 6959.828474, 0.561476, 4995459, 717.756050825
default, 125000, 7331.481258, 0.547224, 4995942, 681.436918974
hyper, 125000, 7101.767489, 0.486673, 4996470, 703.553025007
default, 70000, 6376.288521, 0.635361, 4995143, 783.393502951
hyper, 70000, 6648.597032, 0.561629, 4995048, 751.293540001
default, 125000, 7051.685639, 0.546930, 4996077, 708.494004965
hyper, 125000, 8046.750326, 0.486534, 4996462, 620.929169893
default, 70000, 6808.547751, 0.636183, 4994713, 733.594473124
hyper, 70000, 7710.928243, 0.562129, 4995792, 647.884644032
default, 125000, 7406.260854, 0.547251, 4995847, 674.543754101
hyper, 125000, 7008.412943, 0.486567, 4996412, 712.916325092
default, 70000, 6652.240867, 0.636032, 4995192, 750.903657913
hyper, 70000, 7401.451250, 0.561927, 4995604, 674.949254036
default, 125000, 7420.898577, 0.546974, 4996077, 673.244210005
hyper, 125000, 6928.105000, 0.486368, 4996122, 721.138319969
default, 70000, 6842.799046, 0.635980, 4995548, 730.044528008
hyper, 70000, 6624.742176, 0.562098, 4995811, 754.114027023
