15, 18346.266667
30, 22241.666667
45, 22569.133333
60, 22516.133333
75, 22642.933333
90, 22948.600000
105, 22572.266667
120, 23043.333333
135, 21065.733333
150, 21094.866667
165, 21329.533333
180, 21119.533333
195, 20933.533333
210, 20947.400000
225, 21673.600000
240, 21038.333333
255, 21367.933333
270, 21315.200000
285, 21349.066667
300, 21489.933333
315, 21202.133333
330, 21527.600000
345, 21223.533333
360, 21407.133333
375, 21453.866667
390, 21215.066667
405, 21386.733333
420, 21452.333333
435, 21419.333333
450, 21339.466667
465, 19556.666667
480, 1877.800000
