15, 18436.600000
30, 21869.333333
45, 21894.600000
60, 22441.333333
75, 22741.066667
90, 22812.200000
105, 22548.466667
120, 22718.133333
135, 20432.400000
150, 20375.933333
165, 20307.666667
180, 20544.000000
195, 20574.133333
210, 21021.200000
225, 20756.066667
240, 20903.000000
255, 20897.466667
270, 21037.600000
285, 20576.466667
300, 20992.066667
315, 21085.733333
330, 21121.000000
345, 20784.133333
360, 21286.066667
375, 21070.866667
390, 21255.933333
405, 20913.933333
420, 20937.333333
435, 21167.533333
450, 21033.066667
465, 21148.133333
480, 10983.200000
