driver, K, U, Reqs, Zipf_A, PQ_Frequency, S_Hyper(0e+00; 0.100), GD_PQ
ZipfFixedDriver.IntHigh.100, 5.000e+03, 1.000e+05, 1.009e+07, 1.000, 0.933395, 0.258602, 0.333688
ZipfFixedDriver.IntHigh.100, 7.500e+03, 1.000e+05, 1.008e+07, 1.000, 0.909163, 0.225407, 0.292848
ZipfFixedDriver.IntHigh.100, 1.000e+04, 1.000e+05, 1.007e+07, 1.000, 0.885053, 0.201821, 0.263371
ZipfFixedDriver.IntHigh.100, 1.500e+04, 1.000e+05, 1.005e+07, 1.000, 0.836931, 0.168626, 0.220971
ZipfFixedDriver.IntHigh.100, 2.000e+04, 1.000e+05, 1.003e+07, 1.000, 0.789000, 0.145111, 0.190189
ZipfFixedDriver.IntHigh.100, 3.000e+04, 1.000e+05, 9.965e+06, 1.000, 0.693504, 0.111766, 0.145324
ZipfFixedDriver.IntHigh.100, 4.000e+04, 1.000e+05, 9.887e+06, 1.000, 0.597886, 0.088039, 0.112368
ZipfFixedDriver.IntHigh.100, 5.000e+04, 1.000e+05, 9.785e+06, 1.000, 0.502059, 0.069390, 0.086148
ZipfFixedDriver.IntHigh.100, 7.500e+04, 1.000e+05, 9.346e+06, 1.000, 0.259729, 0.033836, 0.036938
ZipfFixedDriver.IntHigh.100, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
ZipfFixedDriver.IntHigh.100, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
