workload, K, scaled_by, ARC, GD_PQ, PQ_Frequency, S_Hyper(0e+00; 0.100)
Z(0.750000)P1C, 37083, 1020931, 0.297803, 0.314331, 0.281785, 0.278350
ZPop_UnitC, 3000, 1093321, 0.311295, 0.378371, 0.312309, 0.314359
GD1, 5009, 1087522, 0.035456, 0.033332, 0.027965, 0.028457
GD2, 5009, 1087522, 0.082520, 0.094055, 0.087396, 0.078511
GD3, 5009, 1087522, 0.089052, 0.089581, 0.082036, 0.075582
GD3.DynPromote.100, 5009, 1087710, 0.090532, 0.091243, 0.189456, 0.075672
ZipfFixedDriver.IntHigh.100, 5009, 1087592, 0.277610, 0.334082, 0.777409, 0.265467
ZipfFixedDriver.DynPromote.100, 5009, 10087710, 0.274565, 0.333166, 0.914061, 0.258133
WorkingSetUC(10; 1), 69999, 980091, 0.298570, 0.298455, 0.299544, 0.299110
